,categories,seedwords,words
0,help,"['chore', 'responsible', 'help', 'grateful', 'maid']","['responsible', 'grateful', 'maid', 'chore', 'help']"
1,office,"['office', 'laptop', 'bookshelf', 'manager', 'keyboard']","['wirelessly', 'user', 'typewriter', 'cellphone', 'calculator', 'cursor', 'cd_player', 'voice_mail', 'amplifier', 'cellular_phone', 'cell_phone', 'cubicle', 'hard_disk', 'new_computer', 'bookshelf', 'phone', 'computer_screen', 'motherboard', 'camcorder', 'hard_drive', 'personal_computer', 'speakerphone', 'back_office', 'password', 'desk', 'home_office', 'video_camera', 'office', 'box', 'fax_machine', 'booth', 'television_set', 'briefcase', 'beeper', 'appliance', 'work_station', 'stereo', 'keyboard', 'antenna', 'front_desk', 'gadget', 'console', 'manager', 'handset', 'internet_connection', 'scanner', 'desktop_computer', 'keypad', 'headset', 'projector', 'nameplate', 'computer_terminal', 'clipboard', 'spreadsheet', 'monitor', 'stylus', 'laptop_computer', 'palm_pilot', 'laptop', 'word_processor', 'touch_screen', 'dashboard', 'computer_keyboard', 'headphones', 'server', 'blackberry', 'remote_control', 'tape_recorder', 'computer_user', 'mobile_phone', 'palmtop', 'earpiece', 'machine', 'computer', 'modem', 'phone_line', 'desktop', 'printer', 'cordless_phone', 'pager', 'tv_set', 'pad', 'home_computer', 'transmitter', 'computer_monitor', 'light_switch']"
2,dance,"['choreography', 'dance', 'chord', 'ballet', 'glee']","['mime', 'singing', 'music', 'mr_boal', 'duet', 'naturalness', 'harmonies', 'onstage', 'mr_corella', 'dancegoers', 'classical_dancing', 'ms_childs', 'dancing', 'excitingly', 'classical_ballet', 'mr_feld', 'thrillingly', 'solo', 'fluidity', 'ballet_technique', 'classical_technique', 'classical_idiom', 'mr_woetzel', 'classical_style', 'pantomime', 'mr_stiefel', 'mr_kudelka', 'dancer', 'dance', 'mr_martins', 'adagio', 'mr_petronio', 'electronic_music', 'mr_varone', 'spanish_dance', 'ms_tharp', 'expressiveness', 'ballet', 'duets', 'mr_lubovitch', 'ms_whelan', 'virtuosity', 'dancers', 'flamenco', 'interludes', 'third_movement', 'mr_wheeldon', 'second_movement', 'george_balanchines', 'idiom', 'balanchine', 'choreographically', 'mr_bocca', 'acrobatics', 'solos', 'modern_dance', 'waltz', 'tango', 'playfulness', 'bravura', 'jock_soto', 'musicality', 'male_dancers', 'coda', 'improvisations', 'stagecraft', 'choreography', 'ballets', 'pilobolus', 'young_dancers', 'dances', 'giselle', 'drumming', 'first_movement', 'chord', 'glee', 'ballerina', 'ailey', 'lyricism', 'other_dancers', 'theatricality', 'ensemble', 'ballerinas', 'partnering', 'choreographer', 'improvisation', 'mr_baryshnikov']"
3,money,"['drachma', 'shilling', 'yen', 'money', 'bail']","['peso', 'money', 'drachma', 'currency', 'dollar', 'bail', 'yen', 'bond', 'american_currency', 'shilling']"
4,wedding,"['planning', 'oldest', 'wed', 'fiancee', 'debutante']","['oldest_son', 'grown_daughter', 'greatuncle', 'newborn_daughter', 'eloped', 'new_husband', 'niece', 'wed', 'older_sister', 'young_daughters', 'rafael', 'divorced_mother', 'second_son', 'high_school_sweetheart', 'first_husband', 'nephew', 'rosa', 'current_wife', 'godmother', 'youngest', 'new_wife', 'adopted_son', 'summer_home', 'american_wife', 'age_9', 'innkeeper', '18yearold_daughter', '10yearold', 'remarried', 'grown_children', 'childhood_friend', 'inlaws', '18yearold_son', 'first_son', 'wedding', 'second_husband', 'eldest_daughter', 'daughter', 'childhood_friends', 'teenage_daughters', 'eldest', 'christine', 'younger_brother', '6yearold_daughter', 'future_wife', 'namesake', 'younger_sister', 'fiancee', 'second_wife', '3yearold_daughter', 'only_daughter', 'twin_sister', 'maternal_grandmother', '4yearold_daughter', 'son', 'widower', 'maternal_grandparents', 'third_wife', 'granddaughter', 'fiancu00e9', 'widow', 'oldest', 'widowed_mother', 'young_son', 'only_child', 'bar_mitzvah', '5yearold_son', 'youngest_daughter', '3yearold_son', 'late_father', 'older_son', 'cousin', 'fatima', 'young_sons', 'wife', 'young_daughter', 'josephine', 'widowed', 'fiancu00e9e', 'grown_daughters', 'oldest_daughter', 'childhood_home', 'future_husband', 'other_son', 'schoolteacher', 'debutante', 'planning', '10yearold_daughter', 'halfsister', 'adopted_daughter', 'grown_sons', 'only_son', 'sister', 'husband', 'youngest_son', 'eldest_son']"
5,domestic_work,"['chore', 'mom', 'vacuum', 'scrubbing', 'cook']","['microwave_oven', 'freezer', 'grease', 'cook', 'little_ones', 'bathe', 'peanut_butter', 'fry', 'ice_cream', 'scrub', 'fuss', 'cooking', 'hot_plate', 'chores', 'pots', 'washing', 'dirty_dishes', 'vacuum_cleaner', 'domestic_work', 'chore', 'vacuum', 'fridge', 'refrigerator', 'laundry', 'pans', 'microwave', 'scrubbing', 'wash', 'washing_machine', 'sink', 'leftovers', 'toaster', 'nap', 'cooks', 'mom', 'baking', 'stove', 'rinse', 'bake', 'grill', 'dishwasher']"
6,sleep,"['sleepy', 'rest', 'sleep', 'bedroom', 'yawning']","['sleep', 'bunks', 'tiny_room', 'guest_room', 'other_room', 'futon', 'cabin', 'front_porch', 'bathe', 'small_children', 'double_bed', 'living_room', 'bathtub', 'cot', 'house', 'showers', 'couches', 'rest', 'sleepy', 'laundry_room', 'hot_tub', 'shower', 'stoop', 'bed', 'mattress', 'bathroom', 'bunk', 'slept', 'toilet', 'bunk_beds', 'master_bedroom', 'laundry', 'room', 'bedroom', 'couch', 'hut', 'bunk_bed', 'sofa', 'hammock', 'downstairs', 'sleeping_bag', 'nap', 'shack', 'crib', 'small_room', 'yawning', 'tub', 'own_bed', 'sleeps', 'own_room', 'upstairs', 'porch', 'sleeping']"
7,medical_emergency,"['medic', 'birth', 'swelling', 'epilepsy', 'ventilator']","['cataracts', 'vomiting', 'brain_injuries', 'cystic_fibrosis', 'kidney_failure', 'ventilator', 'brain_damage', 'hearing_loss', 'utero', 'medic', 'chronic_pain', 'arthritis', 'bowel', 'spina_bifida', 'ulcers', 'uterus', 'abdominal_pain', 'blood_clot', 'sickness', 'colic', 'manic_depression', 'migraines', 'spinal_cord', 'brain_injury', 'womb', 'high_fever', 'viral_infection', 'scarring', 'inflammation', 'meningitis', 'diarrhea', 'intensive_care', 'chickenpox', 'caesarean_section', 'excruciating_pain', 'transfusion', 'leukemia', 'angina', 'polio', 'thyroid', 'spleen', 'medical_emergency', 'other_ailments', 'fevers', 'anesthetic', 'lung', 'carpal_tunnel_syndrome', 'bladder', 'muscular_dystrophy', 'chemotherapy', 'birth', 'blood_transfusion', 'kidney_disease', 'infertility', 'tonsils', 'clot', 'dementia', 'chest_pain', 'emergency_surgery', 'radiation_therapy', 'appendicitis', 'diabetic', 'fractures', 'gangrene', 'respirator', 'convulsions', 'epilepsy', 'mastectomy', 'infant', 'childbirth', 'heart_muscle', 'amputation', 'dehydration', 'swelling', 'sleep_apnea', 'birth_defect', 'ailment', 'newborn', 'spinal_cord_injury', 'hypothermia', 'ear_infection', 'anemia', 'bedridden', 'blindness', 'radiation_treatment', 'severe_pain', 'internal_bleeding', 'memory_loss', 'allergic_reaction', 'rheumatic_fever', 'radiation_treatments', 'multiple_sclerosis', 'kidney', 'other_symptoms', 'hysterectomy', 'glaucoma', 'tumor', 'kidney_problems', 'bone_marrow_transplant', 'chicken_pox', 'illness', 'bronchitis', 'abnormality', 'serious_illness', 'anesthesia', 'contractions', 'cerebral_palsy', 'fever', 'injections', 'morphine', 'heart_problems', 'infection']"
8,cold,"['shivering', 'woolly', 'sleet', 'windy', 'ice']","['afternoon_sun', 'mist', 'bright_sunlight', 'wet', 'perspiration', 'gray_sky', 'shivering', '90degree_heat', 'shallow_water', 'snow', 'cold_wind', 'underfoot', 'sloshed', 'muddy', 'drifts', 'windy', 'light_rain', 'drenching', 'raindrops', 'woolly', 'bitter_cold', 'only_sound', 'dew', 'drizzle', 'cold_air', 'deep_snow', 'new_snow', 'light_snow', 'breezes', 'thunderstorm', 'damp', 'hot_day', 'summer_sun', 'breeze', 'steady_rain', 'wintertime', 'bright_sun', 'salt_air', 'midday_sun', 'rainstorm', 'heavy_snow', 'puddles', 'strong_wind', 'icy', 'ice', 'fog', 'sea_breeze', 'cold', 'drenched', 'hot_days', 'downpour', 'hot_sun', 'freezing_rain', 'driving_rain', 'gale', 'sleet', 'shivered', 'green_grass', 'overcast', 'frigid', 'snowy', 'slush', 'galeforce_winds', 'freezing_temperatures', 'strong_winds']"
9,hate,"['despise', 'vindictive', 'infuriate', 'sexist', 'kill']","['immoral', 'bigot', 'abhorrent', 'insulting', 'deceitful', 'cowardly', 'humiliate', 'recoil', 'persecute', 'fanatics', 'brand', 'detest', 'callous', 'shameful', 'coward', 'delusional', 'prejudiced', 'cowards', 'hateful', 'scornful', 'cruel', 'repugnant', 'terrify', 'hate', 'senseless', 'complicit', 'punish', 'outrage', 'frighten', 'vile', 'racists', 'malicious', 'insult', 'belittle', 'barbaric', 'defame', 'offends', 'hypocritical', 'stigmatize', 'demeaning', 'cynically', 'racist', 'infuriate', 'disrespectful', 'distrust', 'disloyal', 'fools', 'crazies', 'despicable', 'vindictive', 'repress', 'repent', 'reprehensible', 'murder', 'ridicule', 'annoy', 'bullies', 'traitor', 'maliciously', 'stupid', 'sinful', 'hypocrites', 'torture', 'selfish', 'demonizing', 'intolerant', 'liar', 'heartless', 'liars', 'zealots', 'dishonest', 'vilify', 'retribution', 'hating', 'harass', 'rebel', 'inhuman', 'gullible', 'hypocrite', 'kill', 'homophobic', 'condone', 'hurtful', 'torment', 'brainwashed', 'bigots', 'unpatriotic', 'betray', 'despise', 'revolt', 'callously', 'sexist', 'demonize', 'offend', 'gratuitously', 'mock', 'venal', 'vengeful', 'demean', 'vicious', 'displease', 'degrading']"
