,categories,seedwords,words,rseeds
0,help,['cooperate'],"['permit', 'compromise', 'interfere', 'operate', 'resolve', 'help', 'consult', 'yield', 'obey', 'burden', 'succeed', 'sympathize', 'reconsider', 'defy', 'employ', 'dictate', 'resign', 'allow', 'anger', 'bargain', 'cooperating', 'delay', 'reason', 'deter', 'endanger', 'pressure', 'blackmail', 'persuade', 'execute', 'submit', 'disregard', 'antagonize', 'suspend', 'injure', 'reconcile', 'expel', 'poison', 'trouble', 'oppose', 'harm', 'negotiate', 'experiment', 'torture', 'guarantee', 'appease', 'conform', 'intervene', 'impose', 'comply', 'force', 'surrender', 'disobey', 'punish', 'compensate', 'interrogate', 'behave', 'eliminate', 'compel', 'cooperate', 'resort', 'abandon']",[39]
1,office,['organize'],"['planner', 'reviewing', 'necessities', 'fund', 'unload', 'construct', 'assign', 'compile', 'stock', 'lists', 'complete', 'research', 'programs', 'rearrange', 'gather', 'pack', 'organise', 'salvage', 'select', 'occupy', 'redecorate', 'decorate', 'print', 'organized', 'map', 'sorting', 'important_things', 'oversee', 'document', 'stacking', 'familiarize', 'evaluate', 'transfer', 'scrounge', 'brief', 'cramming', 'alphabetically', 'furnish', 'whatnot', 'restock', 'extra_things', 'organizing', 'shelving', 'organize', 'discuss', 'purchase', 'arranging', 'tidy', 'rearranging', 'distribute', 'collect', 'arrangements', 'design', 'guides', 'filing', 'meetings', 'prep', 'instruct', 'office', 'researching', 'sort', 'store', 'review', 'work', 'finalize', 'stack', 'scavenge', 'install', 'personal_items', 'prepare', 'materials', 'supply', 'supervise', 'school_supplies', 'reorganize', 'conduct', 'book', 'unpack', 'upgrade', 'organising', 'personal_belongings', 'consult', 'coordinate', 'cram', 'organised', 'other_supplies', 'assemble', 'sorted', 'grade', 'arrange']",[89]
2,dance,['rehearsal'],"['audition', 'dance_class', 'first_concert', 'concert', 'cheer_practice', 'bootcamp', '7pm', 'performance', 'tutoring_session', 'signing', 'fashion_show', 'rehersal', 'radio_interview', 'rehearse', 'football_game', 'soundcheck', 'photoshoot', '5pm', 'pep_rally', '3pm', 'talent_show', 'premiere', 'job_interview', 'lunch_break', 'basketball_game', 'performances', 'interview', 'filming', 'recital', 'football_practice', 'tryouts', 'dance', 'soccer_game', 'band_practice', 'brunch', 'basketball_practice', 'gig', 'first_show', 'warped', 'first_performance', 'rehersals', 'practise', '2_hours', 'interviews', 'auditions', 'venue', 'show', 'our_day', '4pm', 'soccer_practice', 'orientation', 'volleyball_practice', 'graduation_ceremony', 'sound_check', 'studios', 'next_concert', 'shopping_trip', 'work_day', 'prom', 'free_day', 'next_show', 'last_show', 'recording_session', 'award_show', 'about_an_hour_and_a_half', 'big_game', 'rehearsing', 'last_concert', 'cheerleading_practice', 'studio', 'tour', 'dress_rehearsal', 'volleyball_game', 'rehearsals', 'photo_shoot', 'dinner_date', 'interveiw', 'next_performance', 'showcase', 'dance_practice', 'recording_studio', 'youth_group', '8pm', 'rehearsal', 'next_tour', 'practice']",[37]
3,money,['bidding'],"['safe_passage', 'slaughter', 'bounty', 'pledged', 'yield', 'legions', 'successor', 'defeating', 'darkhunters', 'emperor', 'kingdom', 'generals', 'reap', 'own_people', 'offspring', 'legacy', 'fates', 'obligations', 'execution', 'troops', 'varden', 'priests', 'offerings', 'riders', 'negotiations', 'exile', 'money', 'conquer', 'reclaim', 'great_power', 'council', 'priestess', 'serve', 'leadership', 'overthrow', 'command', 'empress', 'concubine', 'romans', 'trade', 'elders', 'allegiance', 'senate', 'allies', 'garrison', 'armies', 'brethren', 'messengers', 'appoint', 'discipline', 'imprison', 'slavery', 'sacrifices', 'claim', 'tribes', 'tribe', 'obliterate', 'empire', 'fortunes', 'disposal', 'execute', 'ruling', 'lineage', 'duties', 'descendants', 'oppose', 'annihilate', 'bidding', 'monks', 'lords', 'obedience', 'nephilim', 'mages', 'immortality', 'assassinate', 'summon', 'counsel', 'sacrifice', 'opposition', 'order', 'employ', 'heirs', 'defy', 'slaves', 'masters', 'dark_lord', 'deeds', 'enslave', 'thereby', 'master', 'realm', 'aid', 'obtain', 'slay', 'magicians', 'domain', 'fae', 'forces', 'legion', 'elves', 'covenant', 'perish', 'eliminate', 'caratacus']",[70]
4,wedding,['planner'],"['planner', 'timetable', 'worksheet', 'reviewing', 'quizzes', 'portfolio', 'detention_slip', 'library_card', 'locker_number', 'maths_book', 'scripts', 'printing', 'schedule', 'art_book', 'english_book', 'homework_assignment', 'lesson_plan', 'wedding', 'pamphlet', 'schedual', 'workbooks', 'new_locker', 'print', 'new_schedule', 'note_book', 'locker_combination', 'binder', 'pencil_case', 'few_papers', 'notebook', 'chart', 'checklist', 'new_assignment', 'school_schedule', 'textbooks', 'notebooks', 'math_notebook', 'small_notebook', 'manuscript', 'catalog', 'graded', 'time_table', 'grading', 'note_books', 'workbook', 'work_sheet', 'rubric', 'textbook', 'locker_numbers', 'math_textbook', 'syllabus', 'text_books', 'quiz', 'worksheets', 'folders', 'resume', 'spiral_notebook', 'leaflet', 'history_book', 'script', 'documents', 'class_list', 'study_guide', 'science_book', 'pamphlets', 'calculator', 'other_papers', 'school_map', 'text_book', 'yearbook', 'booklet', 'class_schedule', 'locker_combo', 'more_papers', 'brochure', 'agenda', 'pen', 'note_pad', 'few_books', 'journals', 'timetables', 'math_book', 'notes', 'notepad', 'brochures', 'folder', 'history_textbook', 'seating_chart', 'papers', 'files', 'black_notebook', 'file']",[68]
5,domestic_work,['cleaning'],"['huge_mess', 'cleaners', 'clean', 'wash', 'arranging', 'sorting', 'sewing', 'tidy', 'mopped', 'tidied', 'drying', 'stacking', 'mop', 'cleaner', 'vacuumed', 'showering', 'daily_chores', 'tending', 'dirty_dishes', 'cleans', 'laundry', 'domestic_work', 'bandaging', 'cleaned', 'polishing', 'cooking', 'patching', 'washing', 'tidying', 'dishes', 'scrub', 'organizing', 'mopping', 'decorating', 'vacuuming', 'scrubbing', 'cleaning', 'fixing']",[26]
6,sleep,['resting'],"['arm_rest', 'leaning', 'leant', 'placed', 'perching', 'balancing', 'clasping', 'rubbing', 'clasped', 'facing', 'cradling', 'grasping', 'splayed', 'nestling', 'draping', 'pillowed', 'propped', 'places', 'hand_rest', 'reclined', 'cupping', 'sleep', 'rest', 'rests', 'gripping', 'placing', 'drapped', 'draped', 'leaned', 'lifting', 'laying', 'cradled', 'perched', 'pressed', 'nestled', 'rested', 'pressing', 'holding', 'dangling', 'patting', 'resting', 'planted', 'laid', 'props', 'reclining', 'balanced', 'armrest', 'propping', 'proped']",[33]
7,medical_emergency,['concussion'],"['scare', 'broken_wrist', 'full_recovery', 'permanent_damage', 'brain_tumor', 'few_scratches', 'meds', 'broken_bone', 'asthma', 'sprain', 'fractured', 'broken_ribs', 'morning_sickness', 'brain_damage', 'headache', 'chemo', 'antibiotics', 'dislocated_shoulder', 'bruised', 'head_injury', 'concusion', 'minor_concussion', 'tumor', 'blood_transfusion', 'head_trauma', 'few_broken_ribs', 'sprained_ankle', 'cramps', 'morphine', 'amnesia', 'concussion', 'injured', 'pain_medication', 'mild_concussion', 'headaches', 'xrays', 'injury', 'bruising', 'critical_condition', 'swelling', 'pain_meds', 'slight_concussion', 'memory_loss', 'broken_leg', 'flu', 'medication', 'black_eye', 'bullet_wound', 'internal_bleeding', 'fracture', 'migraine', 'coma', 'serious_injuries', 'dislocated', 'stiches', 'emergency_surgery', 'few_stitches', 'broken_rib', 'cracked_ribs', 'pneumonia', 'broken_bones', 'few_broken_bones', 'anesthesia', 'seizure', 'stitches', 'miscarriage', 'twisted_ankle', 'broken_arm', 'injuries', 'medical_emergency', 'sprained_wrist', 'seizures', 'bruise', 'pain_medicine', 'fever', 'trauma', 'serious_damage', 'surgery', 'broken_ankle', 'few_bruises', 'sprained', 'broken_nose', 'blood_loss', 'minor_injuries', 'bruised_ribs']",[48]
8,cold,['insulate'],"['insulate', '', 'cold']",[12]
9,hate,['hypocrite'],"['drama_queen', 'bad_guy', 'weird_person', 'complete_jerk', 'man_whore', 'good_person', 'feminist', 'bad_friend', 'good_boyfriend', 'smart_ass', 'bad_boyfriend', 'spoilt_brat', 'douche', 'weakling', 'total_bitch', 'cold_hearted_bitch', 'bad_mother', 'horrible_friend', 'womanizer', 'total_asshole', 'narcissistic', 'horrible_person', 'selfish', 'pushover', 'fucking_idiot', 'heartless_bitch', 'pessimist', 'control_freak', 'jealous_bitch', 'sadist', 'lier', 'goodytwoshoes', 'cheater', 'wimp', 'total_douche', 'charity_case', 'nice_person', 'disrespectful', 'complete_dick', 'inconsiderate', 'sexist', 'saint', 'fucking_asshole', 'complete_asshole', 'manwhore', 'airhead', 'hypocritical', 'great_person', 'sore_loser', 'priss', 'hate', 'good_brother', 'bad_kid', 'cry_baby', 'spaz', 'fucking_bitch', 'real_bitch', 'pervert', 'gullible', 'crybaby', 'real_jerk', 'complete_bitch', 'hypocrite', 'spoiled_brat', 'pedophile', 'total_jerk', 'douchebag', 'prude', 'insensitive', 'bad_person', 'total_ass', 'bad_liar', 'attention_whore', 'good_liar', 'jackass', 'delusional', 'liar', 'smartass', 'good_actor', 'bad_girlfriend', 'terrible_person', 'ungrateful', 'perv', 'twat', 'conceited', 'selfish_bastard', 'selfish_bitch', 'total_dick', 'dickhead', 'mean_person', 'stuck_up_bitch', 'sweet_person', 'snob', 'melodramatic', 'jerk', 'complete_ass', 'wonderful_person', 'pest', 'wuss']",[98]
